name,url,First appearance,Latest appearance,Occupation(s),Residence,Gender,Color,Eye color,Portrayer,Appearance,Classification,Spouse,Parents,Children
Reef blower,https://spongebob.fandom.com/wiki/Reef_blower_(machine),[],"""Bad Luck Bob""",,,,,,,,,,,
Scallops and clams,https://spongebob.fandom.com/wiki/Scallops_and_clams,"""Help Wanted""","""Pet the Rock""",,,,,,,,,,,
Fred,https://spongebob.fandom.com/wiki/Fred,"['""Reef Blower""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""A Patty in Time"" (The Patrick Star Show)']","['Lumberjack', 'Janitor', 'Empty Head Society member', 'Pirate', 'Construction worker', 'Businessman', 'Gratitude Magazine model', 'Condo Island Servant', 'Band member', 'Tank company employee', 'Doctor', 'Battle re-enactor', 'Red soldier', 'Office job', 'Collector', 'Krusty Krab commercial crew member (formerly)', 'Excavator driver', 'Reporter', 'Soldier', 'Conductor (Incidental F1)', 'Salesgrouper', 'Executive (""BusinessFish"" variant)', 'Student', 'Bikini Bottom Pillow Foundry worker', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Condo Island', 'Inferno Island', 'Man Rayopolis', 'Bikini Bottomshire', 'Bikini Bottom Jail', 'Krusty Slammer', 'Pirate Territory', 'Binary Bottom (""RobotInc"" variant)', 'Dullsville', 'Cemetery']",Male,Brown,Black,"['Dee Bradley Baker (""Ripped Pants,"" ""Bossy Boots,"" ""Band Geeks,"" ""Squilliam Returns,"" ""Grooming Gary,"" and The SpongeBob Movie: Sponge Out of Water)', 'Tom Kenny (""Home Sweet Pineapple,"" ""Arrgh!,"" ""Snowball Effect,"" ""The Sponge Who Could Fly,"" ""Pranks a Lot,"" ""All That Glitters,"" ""Squid Wood,"" ""Sing a Song of Patrick,"" ""Walking the Plankton,"" ""Face Freeze!,"" ""Mimic Madness,"" ""Burst Your Bubble,"" and ""High Sea Diving"")', 'Clancy Brown (""Karate Choppers,"" ""Sandy, SpongeBob, and the Worm,"" and ""A Pal for Gary"")', 'Rodger Bumpass (""Hooky,"" ""Have You Seen This Snail?,"" ""My Pretty Seahorse,"" and ""Trident Trouble"")', 'Carlos Alazraqui (""Patty Hype"")', 'Bill Fagerbakke (""One Krabs Trash,"" ""Suction Cup Symphony,"" ""Sun Bleached,"" ""Squid Baby,"" ""Cave Dwelling Sponge,"" ""Squidward\'s Sick Daze,"" and ""Arbor Day Disarray"")', 'Thomas F. Wilson (""Chocolate with Nuts"")', 'Paul Tibbitt (""Enemy In-Law"")', 'Eban Schletter (singing voice in ""The Inmates of Summer"")', 'Mark Fite (""Professor Squidward"")', 'Jill Talley (""Truth or Square"")']",,Grouper,,Unnamed father,
Incidental 2,https://spongebob.fandom.com/wiki/Incidental_2,"['""Ripped Pants""', '""Reef Blower"" (cut)', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""Driven to Drive"" (The Patrick Star Show)']","['Chef ', 'Sailor', 'Krusty Krab commercial crew member (formerly)', 'R.A. PennyPincher Vending Supplies employee', 'Football player', 'Student', ""Hors d'oeuvres guy (Incidental F2)"", 'Doctor', 'Baker', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'New Kelp City', 'Binary Bottom (""RobotInc"" variant)']",Male,Salmon,Black,"['Rodger Bumpass (""Hooky"")', 'Clancy Brown (""Squid on Strike"")', 'Thomas F. Wilson (The SpongeBob SquarePants Movie)', 'Sirena Irwin (female)']",,Snapper,,Mother,
Incidental 3,https://spongebob.fandom.com/wiki/Incidental_3,"['""Reef Blower""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""Patrick Show Land"" (The Patrick Star Show)']","['Krusty Krab commercial crew member (formerly)', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Bikini Bottomshire']",Male,Light blue and dark green,Dark yellow with black pupils,Dee Bradley Baker,,Guppy (likely),,,
Jellyfish,https://spongebob.fandom.com/wiki/Jellyfish,"""Tea at the Treedome""",,,,,,,,,,,,
Lavender jellyfish,https://spongebob.fandom.com/wiki/Lavender_jellyfish,"""Tea at the Treedome""","""Square Roots: The Story of SpongeBob SquarePants""",,Jellyfish Fields,,Lavender,,,,Jellyfish,,,
Sandra Jennifer Olivia Cheeks (Sandy Cheeks),https://spongebob.fandom.com/wiki/Sandy_Cheeks,Tea at the Treedome,Saving Bikini Bottom: The Sandy Cheeks Movie,"['Scientist', 'Texas genteel', 'Inventor', 'Bodybuilder', 'Law enforcement official', 'Molecular gastronomist', 'Martial arts master']","['Galveston, Texas (formerly)', 'Her treedome, Bikini Bottom, Pacific Ocean (currently)']",Female,"['Brown (fur)', 'Pink (skin)']","['Black', 'Brown (""A Cabin in the Kelp"")']","['Junior Brown (singing role in ""Texas"")', 'Presley Williams (Young Sandy in The SpongeBob Movie: Sponge on the Run)']",,Squirrel,,"['Pa Cheeks (father)', 'Ma Cheeks (mother)']",
Giant clam,https://spongebob.fandom.com/wiki/Giant_clam,,,,,,,,,,,,,
Sandy's orange bird,https://spongebob.fandom.com/wiki/Sandy%27s_orange_bird,,,,"Sandy's treedome, Bikini Bottom, Pacific Ocean",,Dark orange,Black,,"""Tea at the Treedome""",Bird,,,
Duck bubble,https://spongebob.fandom.com/wiki/Duck_bubble,"""Bubblestand""","""Who R Zoo?""",,,,,,,,,,,
Elephant bubble,https://spongebob.fandom.com/wiki/Elephant_bubble,[],SpongeBob Simulator,,,,,,,,,,,
SpongeBob's swim trunks,https://spongebob.fandom.com/wiki/SpongeBob%27s_swim_trunks,"""Ripped Pants""","""Swimming Fools""",,,,,,,,,,,
Larry the Lobster,https://spongebob.fandom.com/wiki/Larry_the_Lobster,"""Ripped Pants""","""End of Summer Daze""","['Lifeguard', 'Weightlifter', 'Gym owner', 'Camp counselor (""Kamp Koral: SpongeBob\'s Under Years"")']","Bikini Bottom, Pacific Ocean",Male,Crimson red and light red,Light yellow with black pupils,"['Doug Lawrence', 'Bill Fagerbakke (grunts in ""MuscleBob BuffPants"" and ""House Hunting"")']",,Lobster,,,
Chef,https://spongebob.fandom.com/wiki/Chef,"""Ripped Pants""","""Abandon Twits""",Chef,"Bikini Bottom, Pacific Ocean",Male,"['Dark purple (1015)', 'Tan (308)', 'Pale light gray (440)']",Light yellow (471) with black pupils,Jay Lender,,Fish,,,
Announcer fish,https://spongebob.fandom.com/wiki/Sports_guy,"""Ripped Pants""",The Yellow Avenger,Sportscaster,"Bikini Bottom, Pacific Ocean",Male,Blue,Black,"['Doug Lawrence', 'Dee Bradley Baker (""The Great Snail Race"")']",,Fish,,,
Steven,https://spongebob.fandom.com/wiki/Steven,"['""Ripped Pants""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (storyboard) (SpongeBob SquarePants)', '""Pat-per Route"" (The Patrick Star Show)']","['Chauffer', 'Sailor', 'Collecter', 'Pilot', 'Fancy Living Digest Model', 'Lumberjack', 'Dry cleaner employee', 'Fancy Springs towel boy', 'Past president', 'Bank owner', 'Executive (""BusinessFish"" variant)', 'Photographer', 'Student', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Cemetery']",Male,Light brown,Black,"['Tom Kenny (""Squeaky Boots"" and One Krabs Trash"")', 'Doug Lawrence (""Culture Shock"")', 'Rodger Bumpass (""Squid on Strike"")', 'Bill Fagerbakke (""Wigstruck"")', 'Clancy Brown (""Pranks a Lot"")', 'Dana Snyder (""The Yard Sale"")']",,Skilletfish,,,
John,https://spongebob.fandom.com/wiki/John,"['""Ripped Pants""', '""Squeaky Boots"" (production order)']","['""Necro-Nom-Nom-Nom-I-Con"" (SpongeBob SquarePants)', '""A Patty in Time"" (The Patrick Star Show)']","['Bank teller', 'Member of the Empty Head Society', 'Student', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Cemetery']",Male,Light purple and gray,Light yellow and black,Dee Bradley Baker,,Orchid dottyback,,,
Tom,https://spongebob.fandom.com/wiki/Tom,"['""Ripped Pants""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""A Patty in Time"" (The Patrick Star Show)']","['Executive (""BusinessFish"" variant)', 'Bartender', 'Choir Boy', 'Doctor', 'Chef', 'Actor', 'Wig shop owner', 'Mattress salesman', 'Bank teller', 'Student', 'Blue soldier', 'Retirement home worker', 'Cameraman', 'Dentist', 'Bus driver', 'R.A. PennyPincher Vending Supplies employee', 'Choir singer', 'Miner', 'Chef at The Salty Spitoon (formerly)', 'Clapper guy', 'Photographer', 'Cotton candy vendor', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Atlantic City', 'Inferno Island', 'Man Rayopolis', 'Bikini Bottomshire', 'Dead Eye Gulch', 'Bikini Bottom Jail', 'Binary Bottom (RobotInc 6)', 'Cemetery (ZombieNoTorso)']",Male,Brown,Beige and black,"['Bill Fagerbakke (""MuscleBob BuffPants,"" ""Pranks a Lot,"" ""Sailor Mouth,"" ""Mimic Madness,"" and ""Get Off My Lawnie"")', 'Rodger Bumpass (""Your Shoe\'s Untied"")', 'Carlos Alazraqui (""Bubble Buddy"" and ""Party Pooper Pants"")', 'Susan Boyajian (""Doing Time"")', 'Tom Kenny (""Ghost Host,"" ""Glove World R.I.P.,"" and ""Tutor Sauce"")', 'Clancy Brown (""The Patrick Show Sells Out"")', 'Eban Schletter (""The Inmates of Summer"") (singing voice)']",,Trout,,,
Incidental 7,https://spongebob.fandom.com/wiki/Incidental_7,"['""Ripped Pants""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""Patrick Show Land"" (The Patrick Star Show)']","['Student', 'Bank Teller', 'Servant of King Poseidon', 'Tank company employee', 'Office job', 'Werewolf groomer', 'Actor', 'Hygenist', 'Photographer', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Atlantic City', 'New Kelp City', 'Dead Eye Gulch', 'Binary Bottom (""RobotInc"" variant)', 'Shady Shoals Rest Home']",Female,"['Dark gray', 'Light gray', 'Blue-gray']",White with black pupils,"['Jill Talley (""Roller Cowards,"" ""Giant Squidward,"" ""Fiasco!,"" ""Chum Fricassee,"" ""Plankton\'s Old Chum,"" ""Get Off My Lawnie,"" and ""Big Baby Patrick"")', 'Lori Alan (""The Slumber Party"")', 'Carolyn Lawrence (""The Abrasive Side,"" ""SpongeBob LongPants,"" ""Patrick\'s Coupon,"" ""Say Awww!,"" and ""PL-1413"")', 'Dee Bradley Baker (""Mermaid Man Begins"")', 'Mary Jo Catlett (""For Here or to Go"")', 'Susan Boyajian (""Patrick\'s Tantrum"")', 'Kate Higgins (""The Yard Sale"" and ""Blood is Thicker Than Grease"")', 'Cree Summer (""Backpay Payback,"" ""Olly Olly Organ Free,"" ""Tying the Klop-Knot,"" and ""Face/Off-Model"")']",,Minnow,,,
Incidental 8,https://spongebob.fandom.com/wiki/Incidental_8,"['""Ripped Pants""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""Patrick Show Land"" (The Patrick Star Show)']","['Student', 'Actor in Glove World! film', 'Werewolf groomer', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Dead Eye Gulch', 'Binary Bottom (""RobotInc"" variant)']",Female,"Light pink, white, and light red",White with black pupils,"['Bill Fagerbakke (""Don\'t Feed the Clowns"")', 'Tom Kenny (""Mimic Madness"")', 'Mary Jo Catlett (""Patrick-Man!"")']",,Striped squirrelfish,,,
Incidental 9,https://spongebob.fandom.com/wiki/Incidental_9,"['""Ripped Pants""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (storyboard) (SpongeBob SquarePants)', '""Patrick Show Land"" (The Patrick Star Show)']","['Blue soldier', 'Fry Cook Games competitor', 'Student', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'New Kelp City', 'Cemetery']",Male,"Light orange with light blue stripes, lips, dorsal fin, and tail",Light yellow sclera with black pupils,"['Dee Bradley Baker', 'Doug Lawrence', 'Tom Kenny', 'Bill Fagerbakke']",,Harlequin tuskfish,,,
Incidental 10,https://spongebob.fandom.com/wiki/Incidental_10,"['""Ripped Pants""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""Driven to Drive"" (The Patrick Star Show)']","['Sailor', 'Krusty Krab commercial crew member (formerly)', 'Student', 'Stair war solider']","Bikini Bottom, Pacific Ocean",Male,Mustard yellow and dark orange,Black,"['Doug Lawrence', 'Jill Talley (""Patty Hype"")']",,Yellow croaker,,,
Priscilla,https://spongebob.fandom.com/wiki/Priscilla,"""Ripped Pants""","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""A Patty in Time"" (The Patrick Star Show)']","['Workout video actor', 'Student', 'Stair war solider']","Bikini Bottom, Pacific Ocean",Female,Light purple,Light aqua with black pupils,"['Mary Jo Catlett', 'Jill Talley', 'Sirena Irwin', 'Carolyn Lawrence']",,Lavender tang,,,
Incidental 13,https://spongebob.fandom.com/wiki/Incidental_13,"""Ripped Pants""","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""Patrick Show Land"" (The Patrick Star Show)']","['Referee', 'Actor', 'Workout video actor', 'Red soldier', 'Band member', 'Fry Cook Games competitor', 'Student', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Binary Bottom (""RobotInc"" variant)']",Male,Light green and olive green,Yellow,"['Tom Kenny', 'Dee Bradley Baker', 'Rodger Bumpass', 'Doug Lawrence', 'Bill Fagerbakke']",,Angelfish,,,
Incidental 14,https://spongebob.fandom.com/wiki/Incidental_14,"""Ripped Pants""","['""Mooned!"" (SpongeBob SquarePants)', '""A Patty in Time"" (The Patrick Star Show)']","['Babysitter', 'Parade balloon handler', 'Mail woman', 'Student', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Man Rayopolis', 'Binary Bottom (RobotInc 3)', 'Cemetery']",Female,Magenta,Light yellow with black pupils,"['Carolyn Lawrence (""Band Geeks"" and ""Cave Dwelling Sponge"")', 'Jill Talley (""Patty Hype,"" ""Have You Seen This Snail?,"" ""Sharks vs. Pods,"" ""High Sea Diving,"" and ""To Dad and Back"")', 'Lori Alan (""Once Bitten"")', 'Rodger Bumpass (""Gary\'s Got Legs"" and ""Patrick the Mailman"")', 'Cree Summer (""Lost in Couch"")', 'Dee Bradley Baker (""Salty Sponge"")']",,Fish,,,
Incidental 15,https://spongebob.fandom.com/wiki/Incidental_15,"""Ripped Pants""","['Saving Bikini Bottom: The Sandy Cheeks Movie (storyboard) (SpongeBob SquarePants)', '""5 Star Restaurant"" (The Patrick Star Show)']","['Krusty Krab commercial crew member (formerly)', 'Student', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Man Rayopolis', 'Dead Eye Gulch', 'Binary Bottom (""RobotInc"" variant)']",Male,Green,Black,Dee Bradley Baker,,Fish,,,
Incidental 16,https://spongebob.fandom.com/wiki/Incidental_16,"""Ripped Pants""","['""Big League Bob"" (SpongeBob SquarePants)', '""Driven to Drive"" (The Patrick Star Show)']","['Trumpet player', 'Student', 'Stair war solider', 'Pet show judge']","['Bikini Bottom, Pacific Ocean', 'Binary Bottom (""RobotInc"" variant)']",Male,"Dark bluish-gray, dark purple, and lavender",Black,"['Rodger Bumpass', 'Dee Bradley Baker', 'Tom Kenny', 'Carolyn Lawrence', 'Bill Fagerbakke (""Don\'t Make Me Laugh"")']",,Black Moor (Likely),,,
Incidental 17,https://spongebob.fandom.com/wiki/Incidental_17,"""Ripped Pants""","['Saving Bikini Bottom: The Sandy Cheeks Movie (storyboard) (SpongeBob SquarePants)', '""Patrick Show Land"" (The Patrick Star Show)']","['Referee', 'Krusty Krab commercial crew member (formerly)', 'Stair war solider']","Bikini Bottom, Pacific Ocean",Male,Light orange,Black,Rodger Bumpass,,Fish,,,
Incidental 18,https://spongebob.fandom.com/wiki/Incidental_18,"['""Ripped Pants""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (storyboard) (SpongeBob SquarePants)', '""Patrick Show Land"" (The Patrick Star Show)']",Student,"['Bikini Bottom, Pacific Ocean', 'Binary Bottom (RobotInc 2)']",Male,Light olive green and red-orange,Black,Dee Bradley Baker,,Fish,,Mother,
Incidental 19,https://spongebob.fandom.com/wiki/Incidental_19,"""Ripped Pants""","""Buff for Puff""",Daycare director,"Bikini Bottom, Pacific Ocean",Female,Light orange,White,Carolyn Lawrence,,Egg-fish goldfish,,,
Incidental 20,https://spongebob.fandom.com/wiki/Incidental_20,"""Ripped Pants""","['""Necro-Nom-Nom-Nom-I-Con"" (SpongeBob SquarePants)', '""Driven to Drive"" (The Patrick Star Show)']","['Trumpet player', 'Member of the Empty Head Society (Incidental EHS7)', 'Guitarist', 'Battle re-enactor', 'Red soldier', 'Student', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'Bikini Bottomshire', 'Binary Bottom (RobotInc 5)']",Male,Light gray and dark purple,Black,"['Dee Bradley Baker', 'Rodger Bumpass']",,Butterflyfish,,,
Incidental 21,https://spongebob.fandom.com/wiki/Incidental_21,"['""Ripped Pants""', '""Squeaky Boots"" (production order)']","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""Chum Bucket List"" (color palette only) (The Patrick Star Show)']",Stair war solider,"['Bikini Bottom, Pacific Ocean', 'Binary Bottom (""RobotInc"" variant)']",Unknown,Peach and brown,Dark yellow and black,,,Garfish (likely),,,
Carol,https://spongebob.fandom.com/wiki/Carol,"""Ripped Pants""","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""Patrick Show Land"" (The Patrick Star Show)']","['Nurse', 'Actor', 'Tank company employee', 'Member of the Empty Head Society', 'Krusty Krab commercial crew member (formerly)', 'Wrestle Camp model', 'Bank teller', 'Waitress', 'Member of the Beach Band (Loser 1)', 'Student', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'New Kelp City', 'Atlantic City', 'Binary Bottom (""RobotInc"" variant)']",Female,Tan-brown,Blue,"['Sirena Irwin', 'Jill Talley', 'Carolyn Lawrence']",,Egg-fish goldfish,,,
